x,y,player,team
27.1836438337,3.80421766091,Patrick Beverley,HOU
5.88834314521,-4.9384948867,Marcus Thornton,TOTAL
35.9946968457,-7.15683848513,Chase Budinger,MIN
15.7306538575,-6.44084313818,Danny Green,SAS
11.5614221216,11.3334684237,Patty Mills,SAS
2.25372268147,-4.30063121209,Wesley Matthews,POR
-4.60979170554,18.539043056,John Wall,WAS
17.1625386334,9.46386327573,Evan Turner,BOS
14.746975011,6.84408984804,Derrick Favors,UTA
14.1117516351,-6.96110620956,Wesley Johnson,LAL
11.8278659238,1.49090798159,DeMarcus Cousins,SAC
-6.89099739759,10.8213806944,Greg Monroe,DET
10.1434751608,9.24345611527,Al-Farouq Aminu,DAL
5.83666503673,-6.14979767581,Gordon Hayward,UTA
-8.52170501837,12.0466420315,Cole Aldrich,NYK
-16.8136983374,-1.50057187442,Ed Davis,LAL
23.8038844195,18.538384925,Patrick Patterson,TOR
7.4711284855,24.4672597251,Kevin Seraphin,WAS
0.0772687362762,10.990722118,Eric Bledsoe,PHX
-9.06391736906,10.9200832203,Avery Bradley,BOS
24.2462796978,7.87589541171,Trevor Booker,UTA
15.0374372179,21.8231973886,Quincy Pondexter,NOP
20.1511154607,20.0144268867,Quincy Pondexter,TOTAL
24.7927525011,30.601431042,Greivis Vasquez,TOR
-26.1011203232,4.97739623105,Hassan Whiteside,MIA
13.6492772308,-2.46287408217,Lance Stephenson,CHA
10.7613732401,8.06113162614,Donald Sloan,IND
-13.6245102035,3.24580140642,Timofey Mozgov,CLE
-14.2635220125,3.11307863045,Timofey Mozgov,TOTAL
1.22301847845,0.595556056894,Gary Neal,CHA
0.990948048904,15.3495894191,Gary Neal,TOTAL
-5.31432006977,19.6351429891,Jeremy Lin,LAL
-26.5037319759,-2.86703255029,Ish Smith,TOTAL
30.0621045807,-1.66224739106,Elijah Millsap,UTA
31.6788247312,14.0077284251,Lance Thomas,TOTAL
-12.7059137912,9.67807992713,Kyrie Irving,CLE
33.0472536655,23.450234279,Derrick Williams,SAC
9.50508837538,-11.4221607536,Enes Kanter,TOTAL
16.4304579915,4.0256632645,Enes Kanter,UTA
-25.6000676095,-1.21149051955,Tristan Thompson,CLE
-16.3344116895,-2.95411101068,Jonas Valanciunas,TOR
-23.4977721204,7.02753228468,Bismack Biyombo,CHA
8.12819435831,9.01628957532,Brandon Knight,MIL
9.7016197446,18.2161178199,Brandon Knight,TOTAL
2.40871377774,3.22026704159,Kemba Walker,CHA
-21.2123390385,-0.988847514051,Klay Thompson,GSW
32.644946773,3.29984672292,Markieff Morris,PHX
23.3897287006,-10.9722297383,Marcus Morris,PHX
21.6003480258,0.694931850395,Kawhi Leonard,SAS
-3.31433778388,9.95395385571,Nikola Vucevic,ORL
31.172881063,21.32508279,Iman Shumpert,TOTAL
31.8101618342,1.99066584409,Tobias Harris,ORL
20.7839665168,4.52816755989,Donatas Motiejunas,HOU
-14.4267434289,-0.87242988462,Kenneth Faried,DEN
27.2709343142,-7.70073040384,Nikola Mirotic,CHI
-3.34879085467,19.0944777557,Reggie Jackson,OKC
-9.54570467186,12.7372560967,Reggie Jackson,TOTAL
9.29269683302,-1.77440327702,Norris Cole,MIA
7.48127617394,-12.8791417727,Norris Cole,TOTAL
7.13635904742,20.2259644537,Cory Joseph,SAS
26.2727649207,-6.35957348512,Jimmy Butler,CHI
12.3876885526,-8.03404341028,Bojan Bogdanovic,BKN
21.0543179308,10.2528392145,Kyle Singler,DET
17.182076015,12.252860352,Kyle Singler,TOTAL
0.220117419383,3.41294840427,Shelvin Mack,ATL
15.9939777197,-1.54256019084,Chandler Parsons,DAL
-5.17031080917,6.02219727915,Lavoy Allen,IND
-0.2815924995,6.68220717009,Isaiah Thomas,PHX
-7.38845861981,18.5037030104,Isaiah Thomas,TOTAL
7.11232809565,15.2406572478,Anthony Davis,NOP
4.6459750114,8.17874786673,Michael Kidd-Gilchrist,CHA
24.1248172337,13.7257986005,Bradley Beal,WAS
-20.2758082095,-4.7383279461,Dion Waiters,OKC
-17.7068659241,5.35693307601,Dion Waiters,TOTAL
2.99838379877,7.86317562184,Damian Lillard,POR
-16.9900210584,-2.81332293818,Terrence Ross,TOR
-23.9247160596,6.20151055317,Andre Drummond,DET
26.3976834018,-2.9273897492,Harrison Barnes,GSW
-1.52856275445,-8.23217759647,Austin Rivers,LAC
-1.29086696037,9.01155310833,Austin Rivers,TOTAL
-11.5776942559,-7.38484866689,Meyers Leonard,POR
-19.8644691373,3.02660266356,John Henson,MIL
16.6014521768,-2.3416989376,Maurice Harkless,ORL
4.51641691586,13.5060155589,Tyler Zeller,BOS
-7.34015019543,6.13150844422,Evan Fournier,ORL
30.1301235466,19.8804493631,Jared Sullinger,BOS
-12.5069866754,-2.07622550892,Miles Plumlee,PHX
-11.6046511593,1.43623235627,Miles Plumlee,TOTAL
37.4972521992,3.37660934037,Jae Crowder,BOS
30.0841131837,12.0765786972,Jae Crowder,TOTAL
31.6876910926,-4.76266687496,Draymond Green,GSW
25.9051441494,12.8135062518,Quincy Acy,NYK
8.08629154892,1.02636255728,Khris Middleton,MIL
10.323335835,15.1497540071,Will Barton,TOTAL
8.53199683278,20.1937418306,Mike Scott,ATL
20.3425758834,20.7312575712,Justin Hamilton,TOTAL
21.131062443,-9.14657571894,Kostas Papanikolaou,HOU
22.0597528846,11.9883217221,Kyle O'Quinn,ORL
18.852066058,-6.56024469579,Robbie Hummel,MIN
9.98300091043,-6.14688993957,Robert Sacre,LAL
-6.82073547308,-3.9822654097,Hollis Thompson,PHI
22.5208402506,21.435191036,Chris Copeland,IND
11.4111535503,-2.11236860533,Pablo Prigioni,NYK
9.4585414803,25.2843750595,Pablo Prigioni,TOTAL
-0.566465336549,16.6737898141,Alexey Shved,TOTAL
33.2521249802,13.5825461306,Kent Bazemore,ATL
3.64879734231,14.8492806406,Brian Roberts,CHA
18.5708525953,10.4333519849,Henry Sims,PHI
-9.46362126714,3.79750007859,Aron Baynes,SAS
0.611423368936,-8.53875501766,Nerlens Noel,PHI
-16.8216554032,7.2084495417,Alex Len,PHX
9.85771455053,-9.17697382371,Andre Roberson,OKC
21.8223228182,-10.5305052173,Anthony Bennett,MIN
15.6786593051,-7.60315825542,Ben McLemore,SAC
-4.40929195614,-2.99663375409,CJ McCollum,POR
24.0389079305,2.3169286476,Cody Zeller,CHA
-17.683490952,6.70527605917,Dennis Schroder,ATL
